duration,avgSpeed,heightDiff,grndDist,totDist,angleVar,distDiff,resolution,fx,fy,fz,previousCluster,annotation
7298,12.206,4.3184,7.5333,8.9033,0.051195,1.37,0.20554,?,?,?,'unknown','floating'
898,32.445,4.8906,1.3852,1.8716,0.26487,0.48637,0.26726,?,?,?,'floating','flying'
2933,34.583,11.151,3.4551,4.5939,0.41606,1.1388,0.22503,?,?,?,'unknown','diving'
1465,0.38325,2.542,0.83503,0.83851,0.08101,0.003475,0.20478,?,?,?,'diving','floating'
1775,29.441,37.733,3.8493,4.2653,0.14151,0.41599,0.23662,?,?,?,'unknown','flying'
7355,5.2108,15.082,2.0909,2.6066,0.086394,0.51565,0.20394,?,?,?,'flying','floating'
2383,61.09,28.826,11.151,13.591,0.15728,2.4399,0.22661,?,?,?,'unknown','flying'
1728,0.46586,2,0.001607,0.005636,0.33946,0.004029,0.24306,?,?,?,'flying','diving'
1584,12.579,19.196,1.1299,1.417,0.24814,0.28703,0.22727,?,?,?,'unknown','floating'
1450,40.985,27.452,5.8109,5.8501,0.15191,0.039166,0.24828,?,?,?,'unknown','flying'
2369,36.054,0.8996,8.9286,10.048,0.12863,1.1193,0.22794,?,?,?,'flying','flying'
3860,56.497,6.6155,13.668,20.836,0.14067,7.1683,0.21762,?,?,?,'unknown','flying'
1778,35.956,8.4632,4.9111,5.0888,0.124,0.1777,0.23622,?,?,?,'unknown','flying'
1245,34.069,8.8562,2.9075,3.196,0.10111,0.28845,0.24096,?,?,?,'flying','flying'
1315,4.6648,1.9128,0.327,0.33033,0.26022,0.003333,0.22814,?,?,?,'flying','floating'
1369,42.907,9.0844,6.6754,6.7157,0.069978,0.04029,0.21914,?,?,?,'unknown','flying'
2742,2.8664,4.3851,0.61177,0.61993,0.12041,0.008152,0.21882,?,?,?,'unknown','floating'
1077,28.769,13.058,3.837,3.8722,0.25085,0.035207,0.22284,?,?,?,'unknown','flying'
1524,13.497,7.9967,0.91786,1.019,0.22942,0.10113,0.23622,?,?,?,'flying','floating'
1591,25.953,11.666,2.126,4.713,0.34288,2.5871,0.22627,?,?,?,'floating','diving'
1774,12.041,0.38004,1.8055,3.5636,0.23578,1.7582,0.23675,?,?,?,'diving','floating'
1199,30.517,6.0934,4.818,4.9252,0.27528,0.10714,0.25021,?,?,?,'floating','flying'
1314,22.41,0.3856,0.11235,3.3493,0.33595,3.237,0.22831,?,?,?,'unknown','flying'
1498,7.5817,17.351,0.27727,0.40785,0.19129,0.13059,0.24032,?,?,?,'flying','floating'
1495,39.166,12.861,5.9187,5.9511,0.072348,0.032431,0.2408,?,?,?,'unknown','flying'
2429,6.9126,6.0901,1.0505,1.0611,0.34327,0.010611,0.22231,?,?,?,'flying','floating'
996,63.462,19.326,5.3591,5.6025,0.075988,0.2434,0.24096,?,?,?,'unknown','flying'
1268,7.0461,7.761,0.53668,0.57669,0.12224,0.040005,0.23659,?,?,?,'flying','floating'
2485,6.1206,6.8409,3.2404,3.3292,0.27606,0.088754,0.2173,?,?,?,'unknown','floating'
882,2.4244,4.862,0.25668,0.25678,0.17805,0.000101,0.27211,?,?,?,'floating','floating'
2126,34.555,23.294,6.6829,6.9669,0.12242,0.284,0.22578,?,?,?,'floating','flying'
2111,22.707,140.83,3.0581,3.8856,0.2259,0.82742,0.22738,?,?,?,'unknown','floating'
1169,19.945,1.1381,0.60496,0.99233,0.28476,0.38736,0.25663,?,?,?,'floating','flying'
1843,39.539,16.561,5.2221,6.0923,0.11932,0.87019,0.22789,?,?,?,'flying','flying'
1489,44.049,25.511,6.2631,6.334,0.084623,0.070871,0.24177,3.125,0,6.25,'unknown','flying'
1559,29.741,18.685,4.1284,4.3474,0.17533,0.21902,0.23092,3.125,0,3.125,'unknown','flying'
1326,44.179,18.044,0.89613,4.7372,0.25871,3.841,0.22624,0,0,5.9375,'flying','flying'
1857,44.85,22.885,7.6211,8.3964,0.10422,0.77527,0.22617,3.125,0,3.125,'unknown','flying'
2449,15.981,3.6856,1.5129,4.3168,0.098429,2.804,0.2205,0,0,0,'flying','floating'
3096,23.45,4.6163,5.0981,6.8685,0.097108,1.7704,0.21318,0,0,0,'floating','flying'
2135,39.943,1.3706,8.6103,8.7077,0.042832,0.097442,0.22482,3.125,0,6.25,'flying','flying'
1506,46.579,74.204,5.1061,6.8179,0.25224,1.7119,0.23904,3.125,0,3.125,'unknown','flying'
4405,35.376,10.251,14.945,15.065,0.079661,0.12033,0.20431,3.125,0,3.125,'flying','flying'
1529,52.758,33.936,7.7171,8.089,0.11678,0.37194,0.23545,3.125,0,3.125,'unknown','flying'
1552,6.8312,7.2686,0.52095,1.185,0.25344,0.66407,0.23196,3.125,0,3.125,'flying','floating'
3408,31.787,15.335,12.757,12.861,0.049148,0.10315,0.21127,3.4375,0,6.5625,'badCluster','flying'
2901,46.904,24.759,11.296,14.679,0.23401,3.3831,12.865,3.125,0,3.125,'unknown','flying'
7449,5.6044,0.58184,2.2589,4.3905,0.59011,2.1316,19.839,?,?,?,'badCluster','floating'
1449,43.829,1,3.7525,6.8226,0.6576,3.07,20.041,?,?,?,'floating','flying'
3349,2.1584,3.2597,0.79768,0.80787,0.46978,0.010196,19.958,?,?,?,'flying','floating'
1752,48.829,2,7.2362,8.9829,0.30288,1.7467,20.034,?,?,?,'floating','flying'
