duration,avg_speed,height_diff,grnd_dist,tot_dist,angle_var,prev_cluster,annotation
3550,0.78391,8,0.029602,0.30017,0.48539,unknown,digesting
5673,0.34855,13,0.076365,0.13601,0.53688,digesting,sleeping
955,6.3873,45,1.6143,1.6176,0.83231,sleeping,flying
2926,8.1591,59,0.30733,9.0704,0.27105,unknown,unknown
5217,0.060923,15,0.010308,0.24201,1.2003,unknown,sleeping
426,16.837,52,2.4637,2.8497,0.050019,sleeping,flying
1365,3.5955,22,2.101,2.1119,0.018551,unknown,flying
3223,3.52,11,2.2419,4.4429,0.008101,flying,flying
5510,11.298,100,11.334,24.11,0.36277,flying,diving
708,1.0308,20,0.21772,0.25448,0.10315,diving,digesting
1380,21.152,47,11.741,11.832,0.001645,digesting,flying
381,23.527,24,3.4268,3.4764,0.006845,flying,flying
4213,7.1732,44,8.004,12.221,0.16486,unknown,unknown
1437,3.384,10,1.4812,1.8022,0.039735,unknown,digesting
81,8.8213,22,0.24976,0.2743,0.13595,digesting,unknown
3142,11.265,73,6.9675,13.207,0.43619,unknown,diving
3472,8.2018,39,2.6007,4.7081,0.62912,diving,diving
10474,11.557,95,20.663,27.121,0.56986,diving,unknown
16581,9.5469,490,0.34071,56.7,0.46362,unknown,unknown
967,18.357,694,6.2539,6.6764,1.0636,unknown,flying
1601,16.451,89,4.977,5.8223,0.50424,flying,diving
3573,13.236,91,7.5065,11.966,0.98636,diving,diving
1511,14.336,43,3.2351,3.3341,0.84319,diving,flying
1609,7.3076,51,2.1762,2.6623,1.2828,flying,diving
1352,11.058,18,1.2232,1.8607,0.27596,diving,diving
3870,10.673,52,1.2536,5.4694,1.0663,diving,diving
3828,11.1,55,2.0878,3.8099,0.91649,diving,diving
1809,11.627,28,7.9229,8.0815,0.009197,diving,flying
1289,11.091,8,6.0036,6.0196,0.036522,flying,flying
1255,11.883,7,5.4814,5.4933,0.07418,flying,flying
636,17.356,28,3.6354,3.6476,0.010298,unknown,unknown
2294,18.94,32,11.843,13.438,0.15856,unknown,diving
1216,5.5535,44,1.4191,1.5205,0.49138,diving,digesting
1215,12.765,45,4.7375,4.9057,0.51135,digesting,diving
7348,10.78,104,29.541,33.46,0.3849,diving,diving
2417,0.83487,10,0.38333,0.64175,0.45929,diving,digesting
1320,11.028,45,6.4094,6.9095,0.10916,digesting,flying
608,13.012,22,2.3593,2.3696,0.007672,flying,flying
3168,10.835,50,3.2694,4.0973,0.59258,flying,diving
13402,10.092,110,15.428,36.262,0.58816,diving,diving
2448,0.9676,20,0.88468,1.0568,0.33027,diving,digesting
1474,11.358,75,6.9211,7.1217,0.019662,digesting,flying
2656,11.867,76,13.319,13.358,0.004327,flying,flying
636,9.2365,39,3.0168,3.0751,1.7048,flying,unknown
1460,0.47946,17,0.2191,0.22308,0.30579,unknown,digesting
1068,4.9429,64,0.93209,1.8195,0.24336,digesting,unknown
1549,0.98851,12,0.49173,0.49461,0.04109,unknown,digesting
1145,9.3407,32,4.741,4.8901,0.054839,digesting,unknown
2135,12.625,45,10.668,11.066,0.013576,unknown,flying
4781,13.933,58,20.319,21.31,0.75624,flying,flying
1219,0.36987,10,0.037262,0.17245,0.37865,flying,digesting
191,9.329,42,0.60321,0.62475,0.40383,digesting,unknown
3844,9.1406,46,4.326,10.466,0.65031,unknown,diving
1852,0.88536,8,0.93971,0.94785,0.24628,diving,digesting
3907,5.4849,44,3.4258,6.0467,0.62271,digesting,diving
1493,0.45105,18,0.96368,1.1269,0.51363,diving,digesting
2013,9.1768,54,2.8146,4.901,0.69954,digesting,diving
1315,15.099,28,1.5809,1.7087,0.21952,diving,flying
3616,8.1128,47,7.3021,7.6871,0.43318,flying,flying
1490,11.45,16,6.7662,6.8095,0.014994,flying,flying
